Well,NaCl (mM),MgCl2 (mM),Tris (mM),Glycerol (%),Template (nM),Enzyme (nM)
A1,0.0,0.00,0,0.0,0.0,0.00
A2,2.5,0.75,5,3.5,4.5,0.55
A3,5.0,1.50,10,7.0,9.0,1.10
A4,7.5,2.25,15,10.5,13.5,1.65
A5,10.0,3.00,20,14.0,18.0,2.20
A6,12.5,3.75,25,17.5,22.5,2.75
A7,15.0,4.50,30,21.0,27.0,0.10
A8,17.5,5.25,35,24.5,31.5,0.65
A9,20.0,6.00,40,28.0,4.0,1.20
A10,22.5,6.75,45,31.5,8.5,1.75
A11,25.0,7.50,50,3.0,13.0,2.30
A12,27.5,8.25,55,6.5,17.5,2.85
A13,30.0,9.00,60,10.0,22.0,0.20
A14,32.5,9.75,1,13.5,26.5,0.75
A15,35.0,10.50,6,17.0,31.0,1.30
A16,37.5,11.25,11,20.5,3.5,1.85
A17,40.0,12.00,16,24.0,8.0,2.40
A18,42.5,12.75,21,27.5,12.5,2.95
A19,45.0,13.50,26,31.0,17.0,0.30
A20,47.5,14.25,31,2.5,21.5,0.85
A21,50.0,15.00,36,6.0,26.0,1.40
A22,52.5,15.75,41,9.5,30.5,1.95
A23,55.0,0.50,46,13.0,3.0,2.50
A24,57.5,1.25,51,16.5,7.5,3.05
B1,60.0,2.00,56,20.0,12.0,0.40
B2,62.5,2.75,61,23.5,16.5,0.95
B3,65.0,3.50,2,27.0,21.0,1.50
B4,67.5,4.25,7,30.5,25.5,2.05
B5,70.0,5.00,12,2.0,30.0,2.60
B6,72.5,5.75,17,5.5,2.5,3.15
B7,75.0,6.50,22,9.0,7.0,0.50
B8,77.5,7.25,27,12.5,11.5,1.05
B9,80.0,8.00,32,16.0,16.0,1.60
B10,82.5,8.75,37,19.5,20.5,2.15
B11,85.0,9.50,42,23.0,25.0,2.70
B12,87.5,10.25,47,26.5,29.5,0.05
B13,90.0,11.00,52,30.0,2.0,0.60
B14,92.5,11.75,57,1.5,6.5,1.15
B15,95.0,12.50,62,5.0,11.0,1.70
B16,97.5,13.25,3,8.5,15.5,2.25
B17,100.0,14.00,8,12.0,20.0,2.80
B18,102.5,14.75,13,15.5,24.5,0.15
B19,105.0,15.50,18,19.0,29.0,0.70
B20,107.5,0.25,23,22.5,1.5,1.25
B21,110.0,1.00,28,26.0,6.0,1.80
B22,112.5,1.75,33,29.5,10.5,2.35
B23,115.0,2.50,38,1.0,15.0,2.90
B24,117.5,3.25,43,4.5,19.5,0.25
C1,120.0,4.00,48,8.0,24.0,0.80
C2,122.5,4.75,53,11.5,28.5,1.35
C3,125.0,5.50,58,15.0,1.0,1.90
C4,127.5,6.25,63,18.5,5.5,2.45
C5,130.0,7.00,4,22.0,10.0,3.00
C6,132.5,7.75,9,25.5,14.5,0.35
C7,135.0,8.50,14,29.0,19.0,0.90
C8,137.5,9.25,19,0.5,23.5,1.45
C9,140.0,10.00,24,4.0,28.0,2.00
C10,142.5,10.75,29,7.5,0.5,2.55
C11,145.0,11.50,34,11.0,5.0,3.10
C12,147.5,12.25,39,14.5,9.5,0.45
C13,150.0,13.00,44,18.0,14.0,1.00
C14,152.5,13.75,49,21.5,18.5,1.55
C15,155.0,14.50,54,25.0,23.0,2.10
C16,157.5,15.25,59,28.5,27.5,2.65
C17,0.0,0.00,0,0.0,0.0,0.00
C18,2.5,0.75,5,3.5,4.5,0.55
C19,5.0,1.50,10,7.0,9.0,1.10
C20,7.5,2.25,15,10.5,13.5,1.65
C21,10.0,3.00,20,14.0,18.0,2.20
C22,12.5,3.75,25,17.5,22.5,2.75
C23,15.0,4.50,30,21.0,27.0,0.10
C24,17.5,5.25,35,24.5,31.5,0.65
D1,20.0,6.00,40,28.0,4.0,1.20
D2,22.5,6.75,45,31.5,8.5,1.75
D3,25.0,7.50,50,3.0,13.0,2.30
D4,27.5,8.25,55,6.5,17.5,2.85
D5,30.0,9.00,60,10.0,22.0,0.20
D6,32.5,9.75,1,13.5,26.5,0.75
D7,35.0,10.50,6,17.0,31.0,1.30
D8,37.5,11.25,11,20.5,3.5,1.85
D9,40.0,12.00,16,24.0,8.0,2.40
D10,42.5,12.75,21,27.5,12.5,2.95
D11,45.0,13.50,26,31.0,17.0,0.30
D12,47.5,14.25,31,2.5,21.5,0.85
D13,50.0,15.00,36,6.0,26.0,1.40
D14,52.5,15.75,41,9.5,30.5,1.95
D15,55.0,0.50,46,13.0,3.0,2.50
D16,57.5,1.25,51,16.5,7.5,3.05
D17,60.0,2.00,56,20.0,12.0,0.40
D18,62.5,2.75,61,23.5,16.5,0.95
D19,65.0,3.50,2,27.0,21.0,1.50
D20,67.5,4.25,7,30.5,25.5,2.05
D21,70.0,5.00,12,2.0,30.0,2.60
D22,72.5,5.75,17,5.5,2.5,3.15
D23,75.0,6.50,22,9.0,7.0,0.50
D24,77.5,7.25,27,12.5,11.5,1.05
E1,80.0,8.00,32,16.0,16.0,1.60
E2,82.5,8.75,37,19.5,20.5,2.15
E3,85.0,9.50,42,23.0,25.0,2.70
E4,87.5,10.25,47,26.5,29.5,0.05
E5,90.0,11.00,52,30.0,2.0,0.60
E6,92.5,11.75,57,1.5,6.5,1.15
E7,95.0,12.50,62,5.0,11.0,1.70
