Row,Column,Droplet
0,0,9
0,1,8
0,2,7
0,3,6
0,4,5
0,5,4
0,6,3
0,7,2
0,8,1
1,8,1
1,7,2
1,6,3
1,5,4
1,4,5
1,3,6
1,2,7
1,1,8
1,0,9
2,0,9
2,1,8
2,2,7
2,3,6
2,4,5
2,5,4
2,6,3
2,7,2
2,8,1
3,8,1
3,7,2
3,6,3
3,5,4
3,4,5
3,3,6
3,2,7
3,1,8
3,0,9
4,0,9
4,1,8
4,2,7
4,3,6
4,4,5
4,5,4
4,6,3
4,7,2
4,8,1
5,8,1
5,7,2
5,6,3
5,5,4
5,4,5
5,3,6
5,2,7
5,1,8
5,0,9
6,0,9
6,1,8
6,2,7
6,3,6
6,4,5
6,5,4
6,6,3
6,7,2
6,8,1
7,8,1
7,7,2
7,6,3
7,5,4
7,4,5
7,3,6
7,2,7
7,1,8
7,0,9
8,0,9
8,1,8
8,2,7
8,3,6
8,4,5
8,5,4
8,6,3
8,7,2
8,8,1
9,8,1
9,7,2
9,6,3
9,5,4
9,4,5
9,3,6
9,2,7
9,1,8
9,0,9
