replicate_id,unique_id,Mg,K,Water
0,0,0.0,0.0,10.0
1,1,0.0,1.0,9.0
2,2,0.0,2.0,8.0
3,3,0.0,3.0,7.0
4,4,0.0,4.0,6.0
5,5,1.0,0.0,9.0
6,6,1.0,1.0,8.0
7,7,1.0,2.0,7.0
8,8,1.0,3.0,6.0
9,9,1.0,4.0,5.0
10,10,2.0,0.0,8.0
11,11,2.0,1.0,7.0
12,12,2.0,2.0,6.0
13,13,2.0,3.0,5.0
14,14,2.0,4.0,4.0
15,15,3.0,0.0,7.0
16,16,3.0,1.0,6.0
17,17,3.0,2.0,5.0
18,18,3.0,3.0,4.0
19,19,3.0,4.0,3.0
20,20,4.0,0.0,6.0
21,21,4.0,1.0,5.0
22,22,4.0,2.0,4.0
23,23,4.0,3.0,3.0
24,24,4.0,4.0,2.0
25,25,5.0,0.0,5.0
26,26,5.0,1.0,4.0
27,27,5.0,2.0,3.0
28,28,5.0,3.0,2.0
29,29,5.0,4.0,1.0
0,30,0.0,0.0,10.0
1,31,0.0,1.0,9.0
2,32,0.0,2.0,8.0
3,33,0.0,3.0,7.0
4,34,0.0,4.0,6.0
5,35,1.0,0.0,9.0
6,36,1.0,1.0,8.0
7,37,1.0,2.0,7.0
8,38,1.0,3.0,6.0
9,39,1.0,4.0,5.0
10,40,2.0,0.0,8.0
11,41,2.0,1.0,7.0
12,42,2.0,2.0,6.0
13,43,2.0,3.0,5.0
14,44,2.0,4.0,4.0
15,45,3.0,0.0,7.0
16,46,3.0,1.0,6.0
17,47,3.0,2.0,5.0
18,48,3.0,3.0,4.0
19,49,3.0,4.0,3.0
20,50,4.0,0.0,6.0
21,51,4.0,1.0,5.0
22,52,4.0,2.0,4.0
23,53,4.0,3.0,3.0
24,54,4.0,4.0,2.0
25,55,5.0,0.0,5.0
26,56,5.0,1.0,4.0
27,57,5.0,2.0,3.0
28,58,5.0,3.0,2.0
29,59,5.0,4.0,1.0
0,60,0.0,0.0,10.0
1,61,0.0,1.0,9.0
2,62,0.0,2.0,8.0
3,63,0.0,3.0,7.0
4,64,0.0,4.0,6.0
5,65,1.0,0.0,9.0
6,66,1.0,1.0,8.0
7,67,1.0,2.0,7.0
8,68,1.0,3.0,6.0
9,69,1.0,4.0,5.0
10,70,2.0,0.0,8.0
11,71,2.0,1.0,7.0
12,72,2.0,2.0,6.0
13,73,2.0,3.0,5.0
14,74,2.0,4.0,4.0
15,75,3.0,0.0,7.0
16,76,3.0,1.0,6.0
17,77,3.0,2.0,5.0
18,78,3.0,3.0,4.0
19,79,3.0,4.0,3.0
20,80,4.0,0.0,6.0
21,81,4.0,1.0,5.0
22,82,4.0,2.0,4.0
23,83,4.0,3.0,3.0
24,84,4.0,4.0,2.0
25,85,5.0,0.0,5.0
26,86,5.0,1.0,4.0
27,87,5.0,2.0,3.0
28,88,5.0,3.0,2.0
29,89,5.0,4.0,1.0
